video_time,job_id
1.03333333333,usw3p_a21a5061-f6f1-4d89-b51a-c873dbdf574a
1.53333333333,usw3p_ac7094bc-b81f-4cb6-bdd9-470cab990cd8
2.03333333333,usw3p_4cd4b073-56d1-4642-8e13-d3d22459b71d
2.53333333333,usw3p_38dedcb4-5442-4095-9f04-e8dc11df0dff
3.03333333333,usw3p_cf2ebf50-29db-4fe0-8ae1-22983c4dee7f
3.53333333333,usw3p_a4c250c4-0ed2-4cc4-baa9-94958da81a13
4.03333333333,usw3p_cba1fc5f-1d3a-4755-b9cb-710ac3e09694
4.53333333333,usw3p_1d695f58-e019-4ef0-95f1-8bbc48f2d0ca
5.03333333333,usw3p_d2d62b20-e185-40b7-83a9-7acb4b6b595a
5.53333333333,usw3p_332bf519-f07e-417d-8df2-f7243b681e6c
6.03333333333,usw3p_888d888f-b671-466c-a3ec-cf1d0e14ef0e
6.53333333333,usw3p_c31ac5aa-c3dc-4325-b03a-a38262d43b2a
